text,label
I was not invited,left_out
I am too old for this,older
I have too many words,explaining
You are confusing me,confused
You got a point,agreeing
I told my daughter and she said no,funny
You are explaining too much,explaining
You are breaking it down,explaining
I still did not get it,confused
You are talking too much,loud
It has layers to it,complex
You are explaining everything,explaining
I am old,older
You ain't get it yet,confused
You are pretty,positive
You loud,loud
You angry,angry
You run a strict program,strict
You confused,confused
You sparkling,positive
You heated,angry
You frustrated,angry
You curious,nosy
You tight,stingy
You arrived on time,punctual
You don't get the joke,confused
You talk too much,loud
You going too far,extra
You are silent,silent
You be hidden and a secret,hidden
You frying me,annoying
You acting like a godzilla,dramatic
You making sense,agreeing
You crack me up,funny
This comment section sending me,funny
You on time,punctual
You got a point,agreeing
I am crying,emotional
You extra,extra
You going to far,extra
Your silent,silent
You yall be hidden,hidden
You messy,messy
You lit,positive
I am rolling on the floor,funny
I am crinee,embarrassed
You frying me,annoying
You stressed,stressed
You in the dark,confused
You loud,loud
You explaining too much,explaining
You jealous,jealous
You heated,angry
You da birthday,main_character
You confused you the bill,confused
You know too much,nosy
You tight,stingy
You the birthday,main_character
You the birthday clown,funny
You the birthday surprise,confused
You the birthday invitation,explaining
Oh you breaking it down,explaining
He is so mad,angry
Why are you yelling,loud
She keeps explaining everything,explaining
I was not invited,left_out
What does this trend mean,confused
He just got here late,late
She is so funny,funny
Why is she so quiet,silent
You ask too many questions,nosy
He is doing too much,dramatic
Everybody is watching me,main_character
I sent the message,explaining